artist,track_name,track_id,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
Yuvan Shankar Raja,Idhu Varai,6dZCuf6SGn2rh9q94JBLlv,,0.67,0.517,5,-6.963,0,0.039,2.49e-05,0.217,0.615,77.514,284480,
Yuvan Shankar Raja,Yenga Area,5qP6NsmHHTpgFZ23KezwVG,,0.55,0.9,5,-6.845,0,0.0948,0.00339,0.399,0.778,129.916,316093,
Yuvan Shankar Raja,Yedho Ondru Ennai,3c1tJAYgROZEdqRfm7Wsny,,0.858,0.447,10,-7.917,1,0.0343,9.19e-05,0.0738,0.256,119.98,213520,
Various Artists,Devathaiya Kandein,7F6S2iyZaDS7AThJaHftJI,,0.879,0.434,7,-10.778,0,0.0385,2.46e-05,0.105,0.794,110.018,310613,
Yuvan Shankar Raja,Paathagathi Kannupattu,6HUBMSP66XE9nWMoMYhqo1,,0.836,0.541,3,-7.134,0,0.0374,0.0132,0.0867,0.452,142.358,270813,
Yuvan Shankar Raja,Oru Devathai,3qTNm4Mta37YmEcLeQcdw3,,0.625,0.492,0,-9.618,0,0.0332,0.000781,0.111,0.28,120.033,296760,
Yuvan Shankar Raja,Pachchai Vanna,4HBDcyTmazbfvNchzmKTC1,,0.686,0.689,9,-4.73,0,0.0379,0.0,0.0422,0.446,120.031,255000,
Yuvan Shankar Raja,Vaanam,3Vjfh7FoOIg6lRDsFNbVv7,,0.573,0.549,0,-4.448,0,0.0269,8.97e-05,0.383,0.311,113.99,224107,
Yuvan Shankar Raja,Adada Mazhaida,4uSy3HJM1MaBk6IeehkSgD,,0.891,0.691,6,-9.417,0,0.0588,0.00564,0.0596,0.666,120.004,267120,
Yuvan Shankar Raja,Nanbane,0uVrPeEM1Q02sbGA3zJ3CC,,0.451,0.306,2,-6.325,0,0.0403,0.00544,0.207,0.262,102.659,302600,
Yuvan Shankar Raja,Kadhal Valarthen,4lvTfq817mnTPF2eibBdIP,,0.711,0.647,0,-7.44,0,0.0578,1.31e-06,0.0863,0.458,122.918,448641,
Yuvan Shankar Raja,Oh Shala Oh Shala,3P6zRJ409f09GI1iNwjcpa,,0.717,0.624,1,-7.096,1,0.0381,0.000762,0.0989,0.472,159.926,254033,
Yuvan Shankar Raja,Kaatrukullai,0J1jYE3nsf7VoSumJSiVOD,,0.805,0.588,5,-5.786,0,0.0311,0.00124,0.118,0.518,119.99,264532,
Yuvan Shankar Raja,Kannai Vittu,5kVjNlwI6vDvbuYJohhUqh,,0.691,0.806,5,-8.286,0,0.0633,0.00452,0.102,0.958,76.992,147078,
Yuvan Shankar Raja,Rowdy Baby,0Tm5ER6IrGfmW0yZ5lkQli,,0.668,0.703,10,-8.192,0,0.199,0.0029,0.159,0.588,176.889,281440,
Yuvan Shankar Raja,Oru Naalil,3eVkn2lYFVq8vZNDR0gf1Z,,0.72,0.533,6,-6.43,1,0.0407,2.39e-05,0.0773,0.75,80.0,382067,
Yuvan Shankar Raja,Vennira Iravugal,0J4aNOziXZL7uuDmCVB6yV,,0.697,0.643,3,-6.394,1,0.0296,6.22e-05,0.0734,0.349,89.998,283360,
Yuvan Shankar Raja,Konjalam Konjalaai Enai Kolvaaya,3RrjzMpAfcg1VE5ZJbbiSE,,0.726,0.827,4,-3.88,0,0.0351,8.52e-06,0.428,0.362,93.012,236774,
Yuvan Shankar Raja,Poi Solla,3b6jCDqWdQPPeNh7xxnaxl,,0.72,0.696,5,-8.18,0,0.0341,0.000145,0.186,0.635,125.004,302987,
